Metropolitan Area,City,STATE,Metro / Micro,Customers (State Level),Gross Sales (State Level),Total households,Owner-occupied housing units with a mortgage,"VALUE!!$1,000,000 or more",% Houses >$1m,VALUE!!Median (dollars)
"Fort Leonard Wood, MO Micro Area",Fort Leonard Wood,MO,Micro,2,1200,16851,6094,0,0,155700
"Deming, NM Micro Area",Deming,NM,Micro,0,0,9223,2657,0,0,141000
"Beeville, TX Micro Area",Beeville,TX,Micro,50,336933,8807,2070,0,0,178400
"Brookhaven, MS Micro Area",Brookhaven,MS,Micro,0,0,13158,3386,0,0,168400
"Gallup, NM Micro Area",Gallup,NM,Micro,0,0,21353,2902,0,0,143000
"Marion, IN Micro Area",Marion,IN,Micro,0,0,26773,11202,0,0,124500
"Lares, PR Micro Area",Lares,PR,Micro,0,0,10770,1585,0,0,203100
"Thomaston, GA Micro Area",Thomaston,GA,Micro,4,3425,10595,3071,0,0,189700
"Alice, TX Micro Area",Alice,TX,Micro,50,336933,16256,3835,0,0,169700
"Plainview, TX Micro Area",Plainview,TX,Micro,50,336933,12976,2630,0,0,139700
"Utuado, PR Micro Area",Utuado,PR,Micro,0,0,11311,1667,0,0,133400
"Clarksdale, MS Micro Area",Clarksdale,MS,Micro,0,0,8404,1618,0,0,203800
"Altus, OK Micro Area",Altus,OK,Micro,0,0,9775,2895,0,0,128000
"Coamo, PR Micro Area",Coamo,PR,Micro,0,0,21324,5502,0,0,120200
"Taylorville, IL Micro Area",Taylorville,IL,Micro,2,2300,13586,5350,0,0,141100
"Mount Vernon, IL Micro Area",Mount Vernon,IL,Micro,2,2300,14820,5142,0,0,142900
"Fitzgerald, GA Micro Area",Fitzgerald,GA,Micro,4,3425,7082,1826,0,0,127300
"Coco, PR Micro Area",Coco,PR,Micro,0,0,10761,2166,0,0,120500
"Greenville, MS Micro Area",Greenville,MS,Micro,0,0,17113,4137,0,0,150800
"Grenada, MS Micro Area",Grenada,MS,Micro,0,0,12601,4301,0,0,114600
"Selma, AL Micro Area",Selma,AL,Micro,0,0,15947,3052,0,0,165500
"Storm Lake, IA Micro Area",Storm Lake,IA,Micro,1,375,7546,2883,0,0,172200
"Spencer, IA Micro Area",Spencer,IA,Micro,1,375,7282,2847,0,0,162200
"Tiffin, OH Micro Area",Tiffin,OH,Micro,2,4925,22279,8509,0,0,163800
"Rio Grande City-Roma, TX Micro Area",Rio Grande City-Roma,TX,Micro,50,336933,19157,2293,0,0,163100
"Middlesborough, KY Micro Area",Middlesborough,KY,Micro,0,0,9939,1879,0,0,152100
"Vernon, TX Micro Area",Vernon,TX,Micro,50,336933,4778,1396,0,0,170300
"Dyersburg, TN Micro Area",Dyersburg,TN,Micro,3,12150,14769,4669,0,0,174400
"Gallipolis, OH Micro Area",Gallipolis,OH,Micro,2,4925,11614,3422,0,0,127600
"Lincoln, IL Micro Area",Lincoln,IL,Micro,2,2300,11266,4539,0,0,155100
"Pittsburg, KS Micro Area",Pittsburg,KS,Micro,0,0,15838,5046,0,0,142600
"Peru, IN Micro Area",Peru,IN,Micro,0,0,13318,5372,0,0,184100
"Town of Pecos, TX Micro Area",Town of Pecos,TX,Micro,50,336933,4224,622,0,0,217300
"Ottawa, KS Micro Area",Ottawa,KS,Micro,0,0,10409,4475,0,0,160400
"Raymondville, TX Micro Area",Raymondville,TX,Micro,50,336933,5691,1232,0,0,165700
"Bainbridge, GA Micro Area",Bainbridge,GA,Micro,4,3425,10621,3014,0,0,182000
"Summerville, GA Micro Area",Summerville,GA,Micro,4,3425,9154,1856,0,0,104600
"Forrest City, AR Micro Area",Forrest City,AR,Micro,0,0,7783,2068,0,0,113800
"Moultrie, GA Micro Area",Moultrie,GA,Micro,4,3425,16803,4296,0,0,157400
"Russellville, AL Micro Area",Russellville,AL,Micro,0,0,11954,3223,0,0,162300
"Elkins, WV Micro Area",Elkins,WV,Micro,0,0,10678,3016,0,0,158500
"Cedartown, GA Micro Area",Cedartown,GA,Micro,4,3425,15901,4951,0,0,216400
"Dumas, TX Micro Area",Dumas,TX,Micro,50,336933,7157,2048,0,0,174100
"St. Marys, PA Micro Area",St. Marys,PA,Micro,2,58825,13325,4292,0,0,136100
"Pampa, TX Micro Area",Pampa,TX,Micro,50,336933,8314,2478,0,0,144700
"Connersville, IN Micro Area",Connersville,IN,Micro,0,0,9422,3928,0,0,140200
"Kingsville, TX Micro Area",Kingsville,TX,Micro,50,336933,11853,2788,0,0,210100
"Sweetwater, TX Micro Area",Sweetwater,TX,Micro,50,336933,5886,1166,0,0,123500
"Pikeville, KY Micro Area",Pikeville,KY,Micro,0,0,38984,10433,0,0,156600
"Minden, LA Micro Area",Minden,LA,Micro,3,9021,14334,3517,0,0,148000
"Kennett, MO Micro Area",Kennett,MO,Micro,2,1200,11257,3125,0,0,108200
